input,output
"Hello","Hi there!"
"How are you?","I'm doing well, thank you. How about you?"
"What is your name?","I'm a chatbot designed to assist you."
"Tell me a joke.","Why don't scientists trust atoms? Because they make up everything!"
"Can you help me?","Of course! What do you need help with?"
"Hello","Hello! How can I assist you today?"
"Good morning","Good morning! Hope you're having a great day."
"What's your purpose?","I'm here to provide information and answer your questions."
"Can you give me advice?","Sure, I can try. What do you need advice on?"
"I need a recipe","What type of recipe are you looking for?"
"Tell me another joke","What do you call a fake noodle? An Impasta!"
"Goodbye","Goodbye! Have a great day ahead."